06/04/2022 11:54:00.300 - oc_logger - INFO - The optimization direction is minimization
06/04/2022 11:54:00.303 - oc_logger - INFO - QuOCS version number: 0.0.22
06/04/2022 11:54:00.303 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:09.646 - oc_logger - INFO - Function evaluation number: 74, SI: 2, Sub-iteration number: 14, FoM: 0.2971147735049915
06/04/2022 11:54:09.771 - oc_logger - INFO - Function evaluation number: 75, SI: 2, Sub-iteration number: 15, FoM: 0.2971147798015308
06/04/2022 11:54:09.895 - oc_logger - INFO - Function evaluation number: 76, SI: 2, Sub-iteration number: 16, FoM: 0.29711482856029336
06/04/2022 11:54:10.019 - oc_logger - INFO - Function evaluation number: 77, SI: 2, Sub-iteration number: 16, FoM: 0.2971147663716338
06/04/2022 11:54:10.144 - oc_logger - INFO - Function evaluation number: 78, SI: 2, Sub-iteration number: 17, FoM: 0.2971147818090123
06/04/2022 11:54:10.262 - oc_logger - INFO - Function evaluation number: 79, SI: 2, Sub-iteration number: 18, FoM: 0.2971148015197602
06/04/2022 11:54:10.389 - oc_logger - INFO - Function evaluation number: 80, SI: 2, Sub-iteration number: 18, FoM: 0.29711476588382024
06/04/2022 11:54:10.513 - oc_logger - INFO - Function evaluation number: 81, SI: 2, Sub-iteration number: 19, FoM: 0.29711478013479
06/04/2022 11:54:10.640 - oc_logger - INFO - Function evaluation number: 82, SI: 2, Sub-iteration number: 19, FoM: 0.2971147655719406
06/04/2022 11:54:10.640 - oc_logger - INFO - SI 2 finished - Number of evaluations: 42, Best FoM: 0.29711475206408955, Terminate reason: Convergence of the FoM.

06/04/2022 11:54:10.640 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:10.762 - oc_logger - INFO - Function evaluation number: 83, SI: 3, Sub-iteration number: 0, FoM: 0.29711475206408955
06/04/2022 11:54:10.886 - oc_logger - INFO - Function evaluation number: 84, SI: 3, Sub-iteration number: 0, FoM: 0.2971147888744077
06/04/2022 11:54:11.011 - oc_logger - INFO - Function evaluation number: 85, SI: 3, Sub-iteration number: 0, FoM: 0.2971148469705218
06/04/2022 11:54:11.139 - oc_logger - INFO - Function evaluation number: 86, SI: 3, Sub-iteration number: 0, FoM: 0.2971152145456126
06/04/2022 11:54:11.263 - oc_logger - INFO - Function evaluation number: 87, SI: 3, Sub-iteration number: 0, FoM: 0.29711490264868945
06/04/2022 11:54:11.390 - oc_logger - INFO - Function evaluation number: 88, SI: 3, Sub-iteration number: 0, FoM: 0.29711485395526194
06/04/2022 11:54:11.514 - oc_logger - INFO - Function evaluation number: 89, SI: 3, Sub-iteration number: 0, FoM: 0.2971147712963992
06/04/2022 11:54:11.642 - oc_logger - INFO - Function evaluation number: 90, SI: 3, Sub-iteration number: 0, FoM: 0.2971148664399099
06/04/2022 11:54:11.754 - oc_logger - INFO - Function evaluation number: 91, SI: 3, Sub-iteration number: 0, FoM: 0.29711495011732725
06/04/2022 11:54:11.863 - oc_logger - INFO - Function evaluation number: 92, SI: 3, Sub-iteration number: 1, FoM: 0.2971153180188484
06/04/2022 11:54:11.982 - oc_logger - INFO - Function evaluation number: 93, SI: 3, Sub-iteration number: 1, FoM: 0.29711496485666167
06/04/2022 11:54:12.103 - oc_logger - INFO - Function evaluation number: 94, SI: 3, Sub-iteration number: 2, FoM: 0.2971150359947763
06/04/2022 11:54:12.229 - oc_logger - INFO - Function evaluation number: 95, SI: 3, Sub-iteration number: 2, FoM: 0.2971148503128753
06/04/2022 11:54:12.355 - oc_logger - INFO - Function evaluation number: 96, SI: 3, Sub-iteration number: 3, FoM: 0.2971151655835109
06/04/2022 11:54:12.483 - oc_logger - INFO - Function evaluation number: 97, SI: 3, Sub-iteration number: 3, FoM: 0.2971148315759793
06/04/2022 11:54:12.610 - oc_logger - INFO - Function evaluation number: 98, SI: 3, Sub-iteration number: 4, FoM: 0.29711488467749336
06/04/2022 11:54:12.738 - oc_logger - INFO - Function evaluation number: 99, SI: 3, Sub-iteration number: 4, FoM: 0.29711481701254394
06/04/2022 11:54:12.860 - oc_logger - INFO - Function evaluation number: 100, SI: 3, Sub-iteration number: 5, FoM: 0.29711482727945226
06/04/2022 11:54:12.982 - oc_logger - INFO - Function evaluation number: 101, SI: 3, Sub-iteration number: 6, FoM: 0.2971148913606929
06/04/2022 11:54:13.109 - oc_logger - INFO - Function evaluation number: 102, SI: 3, Sub-iteration number: 6, FoM: 0.2971147984975644
06/04/2022 11:54:13.241 - oc_logger - INFO - Function evaluation number: 103, SI: 3, Sub-iteration number: 7, FoM: 0.2971148547649456
06/04/2022 11:54:13.367 - oc_logger - INFO - Function evaluation number: 104, SI: 3, Sub-iteration number: 7, FoM: 0.2971147994136498
06/04/2022 11:54:13.495 - oc_logger - INFO - Function evaluation number: 105, SI: 3, Sub-iteration number: 8, FoM: 0.29711484889936357
06/04/2022 11:54:13.626 - oc_logger - INFO - Function evaluation number: 106, SI: 3, Sub-iteration number: 8, FoM: 0.29711479776158645
06/04/2022 11:54:13.754 - oc_logger - INFO - Function evaluation number: 107, SI: 3, Sub-iteration number: 9, FoM: 0.29711489849941564
06/04/2022 11:54:13.878 - oc_logger - INFO - Function evaluation number: 108, SI: 3, Sub-iteration number: 9, FoM: 0.2971147850101229
06/04/2022 11:54:14.007 - oc_logger - INFO - Function evaluation number: 109, SI: 3, Sub-iteration number: 10, FoM: 0.2971148634213855
06/04/2022 11:54:14.137 - oc_logger - INFO - Function evaluation number: 110, SI: 3, Sub-iteration number: 10, FoM: 0.29711478574713346
06/04/2022 11:54:14.260 - oc_logger - INFO - Function evaluation number: 111, SI: 3, Sub-iteration number: 11, FoM: 0.29711487259047975
06/04/2022 11:54:14.380 - oc_logger - INFO - Function evaluation number: 112, SI: 3, Sub-iteration number: 11, FoM: 0.2971147794107354
